specObjID,class,subClass,z,zWarning,snMedian
7220532273447458816,GALAXY,null,0.4727115,0,2.388869
7220532823203272704,GALAXY,null,0.4360132,0,4.388282
7220533098081179648,GALAXY,null,0.3131516,0,6.765666
7220533372959086592,GALAXY,null,0.3454448,0,6.79938
7220533647836993536,GALAXY,null,0.409196,0,5.061221
7220533922714900480,GALAXY,null,0.5475034,0,2.034227
7220534197592807424,GALAXY,null,0.5268062,0,1.96628
7220534472470714368,GALAXY,null,0.6584835,0,1.341609
7220535022226528256,GALAXY,null,0.5468475,0,1.486008
7220535297104435200,QSO,null,0.7256321,0,2.490022
7220535571982342144,GALAXY,null,0.6906752,0,2.454594
7220535846860249088,GALAXY,null,0.1782898,0,22.01262
7220536121738156032,GALAXY,null,0.4866267,0,3.178559
7220536396616062976,GALAXY,null,0.2022707,0,13.0954
7220536671493969920,GALAXY,null,0.6581906,0,1.471505
7220536946371876864,GALAXY,null,0.5233567,0,2.158858
7220537221249783808,GALAXY,null,0.5397045,0,3.759058
7220537496127690752,GALAXY,null,0.5202302,0,2.930865
7220537771005597696,GALAXY,null,0.6273052,0,1.517836
7220538045883504640,QSO,BROADLINE,0.6876317,0,10.9645
7220538320761411584,GALAXY,STARFORMING,0.5375875,0,3.35787
7220538870517225472,GALAXY,null,0.6575525,0,2.079093
7220539145395132416,QSO,null,0.8306311,0,3.284431
7220539420273039360,GALAXY,null,0.4646731,0,3.344505
7220539695150946304,STAR,F0IV (81937),-3.677431E-05,0,69.32729
7220539970028853248,GALAXY,null,0.3201765,0,5.69844
7220540519784667136,GALAXY,null,0.4544401,0,2.978948
7220540794662574080,GALAXY,null,0.478423,0,3.094669
7220541069540481024,GALAXY,STARFORMING,0.3172438,0,8.167295
7220541619296294912,QSO,BROADLINE,0.5389259,0,4.823377
7220541894174201856,QSO,null,0.3853958,0,1.692168
7220542169052108800,QSO,null,2.07201,0,1.651319
7220542443930015744,GALAXY,null,0.2927007,0,11.74179
7220542718807922688,GALAXY,null,0.5036661,0,2.959691
7220542993685829632,QSO,BROADLINE,2.229827,0,1.208895
7220543268563736576,GALAXY,null,0.6062409,0,1.752914
7220543818319550464,STAR,B8III (220575),-0.0003897061,0,3.278365
7220544093197457408,GALAXY,null,0.2696398,0,9.838297
7220544368075364352,GALAXY,null,0.6120442,0,1.592627
7220544642953271296,GALAXY,null,0.243876,0,7.881049
7220544917831178240,GALAXY,null,0.4658264,0,2.968516
7220545467586992128,GALAXY,null,0.5355899,0,1.948809
7220546017342806016,GALAXY,null,0.6714005,0,1.543977
7220546567098619904,GALAXY,null,0.5267813,0,2.960554
7220546841976526848,STAR,F0IV (81937),0.0003592158,0,3.870496
7220547116854433792,GALAXY,null,0.524111,0,2.130184
7220547391732340736,GALAXY,null,0.5645154,0,2.035331
7220547666610247680,GALAXY,null,0.4611276,0,3.008465
7220547941488154624,GALAXY,null,0.6745163,0,1.195964
7220548216366061568,GALAXY,null,0.4064078,0,2.79287
7220548491243968512,GALAXY,null,0.5399285,0,1.988049
7220548766121875456,GALAXY,null,0.5571619,0,2.008308
7220549040999782400,GALAXY,null,0.3238158,0,7.350792
7220549315877689344,GALAXY,null,0.1347664,0,5.889929
7220549590755596288,GALAXY,null,0.5487598,0,1.576305
7220549865633503232,GALAXY,null,0.5303292,0,2.087891
7220550140511410176,STAR,F3/F5V (30743),6.250553E-05,0,23.65322
7220550415389317120,GALAXY,null,0.5929388,0,2.261701
7220550690267224064,STAR,CV,0.0001467642,0,11.19787
7220550965145131008,GALAXY,null,0.4567674,0,2.493297
7220551240023037952,STAR,O8e (188001),-9.779184E-06,0,14.4978
7220551514900944896,GALAXY,null,0.6866753,0,1.48591
7220551789778851840,QSO,BROADLINE,2.917401,0,8.373584
7220552064656758784,GALAXY,null,0.5216945,0,1.608151
7220552339534665728,GALAXY,null,0.3826979,0,4.612236
7220552614412572672,GALAXY,null,0.5398538,0,2.349168
7220552889290479616,QSO,BROADLINE,2.012356,0,2.454212
7220553164168386560,QSO,null,1.121419,0,2.854894
7220553713924200448,GALAXY,null,0.5095767,0,3.579086
7220553988802107392,GALAXY,null,0.3137586,0,8.668192
7220554263680014336,GALAXY,null,0.5939733,0,1.518885
7220554813435828224,GALAXY,null,0.4901177,0,2.037495
7220555088313735168,GALAXY,null,0.3828528,0,5.070612
7220555363191642112,GALAXY,null,0.6115528,0,1.488576
7220555638069549056,STAR,A4V (136729),-0.0003210349,0,3.895375
7220555912947456000,GALAXY,null,0.5619484,0,0.6258739
7220556187825362944,GALAXY,null,0.4050495,0,5.3246
7220556462703269888,GALAXY,null,0.5621186,0,1.666194
7220556737581176832,GALAXY,null,0.6308538,0,1.674087
7220557012459083776,GALAXY,null,0.5664175,0,1.601804
7220557562214897664,GALAXY,null,0.5379386,0,1.9717
7220557837092804608,QSO,BROADLINE,2.500243,0,2.086246
7220558111970711552,GALAXY,null,0.6334082,0,2.037347
7220558661726525440,GALAXY,null,0.4648564,0,2.861901
7220558936604432384,QSO,BROADLINE,2.999122,0,9.844857
7220559211482339328,GALAXY,null,0.5294679,0,2.553815
7220559486360246272,QSO,BROADLINE,4.119734,0,1.740324
7220559761238153216,GALAXY,null,0.5269145,0,1.791029
7220560036116060160,GALAXY,null,0.3403365,0,7.520939
7220560310993967104,GALAXY,null,0.4722781,0,2.171432
7220560860749780992,GALAXY,null,0.5019259,0,3.375841
7220561135627687936,STAR,A1III (225180),7.542221E-05,0,2.969254
7220561410505594880,GALAXY,null,0.5317929,0,3.49989
7220561685383501824,GALAXY,null,0.2993457,0,9.811162
7220561960261408768,GALAXY,null,0.6145561,0,1.893345
7220562235139315712,QSO,BROADLINE,1.19521,0,6.424053
7220562510017222656,GALAXY,null,0.4603978,0,3.180677
7220562784895129600,GALAXY,null,0.300424,0,10.56606
7220563059773036544,GALAXY,null,0.448932,0,2.840728
7220563334650943488,QSO,BROADLINE,1.49119,0,5.781685
7220563609528850432,GALAXY,null,0.6299531,0,1.729827
7220564159284664320,GALAXY,null,0.5107119,0,3.278805
7220564434162571264,STAR,F3/F5V (30743),-0.0001795985,0,20.96635
7220564709040478208,GALAXY,null,0.4657984,0,4.856614
7220565258796292096,GALAXY,null,0.5136639,0,2.343227
7220565533674199040,QSO,BROADLINE,2.650269,0,2.552371
7220565808552105984,GALAXY,null,0.5107621,0,2.609694
7220566083430012928,GALAXY,null,0.5468109,0,3.355456
7220566358307919872,GALAXY,null,0.4963161,0,2.163977
7220566633185826816,GALAXY,null,0.3037337,0,8.110439
7220566908063733760,GALAXY,null,0.6049369,0,2.703205
12768852975134464000,QSO,null,0.9891559,0,2.478267
12768853250012370944,GALAXY,null,0.1126604,0,2.170685
12768853524890277888,QSO,BROADLINE,1.886506,0,5.366515
12768854074646091776,QSO,null,1.814358,0,0.7048059
12768854349523998720,GALAXY,null,0.6416546,0,1.299983
12768854899279812608,QSO,null,1.259931,0,3.512816
12768855174157719552,QSO,BROADLINE,1.610655,0,1.736642
12768855723913533440,QSO,BROADLINE,1.515398,0,6.576083
12768855998791440384,GALAXY,null,0.2460592,0,1.686183
12768856273669347328,QSO,BROADLINE,1.941003,0,7.068537
12768856548547254272,GALAXY,null,0.8090183,0,0.8034145
12768856823425161216,QSO,BROADLINE,2.081168,0,7.351267
12768857098303068160,GALAXY,null,0.6166417,0,1.114403
12768857373180975104,QSO,BROADLINE,2.408079,0,3.785483
