,GALAXY_AGN,GALAXY_AGN_BROADLINE,GALAXY_BROADLINE,GALAXY_NORMAL,GALAXY_STARBURST,GALAXY_STARFORMING,QSO_AGN,QSO_AGN_BROADLINE,QSO_BROADLINE,QSO_NORMAL,QSO_STARBURST,QSO_STARBURST_BROADLINE,QSO_STARFORMING,STAR_A0,STAR_A1,STAR_A2,STAR_A4,STAR_A5,STAR_A6,STAR_A8,STAR_A9,STAR_A_METALLIC,STAR_B0,STAR_B1,STAR_B2_B2_5,STAR_B3,STAR_B5,STAR_B8,STAR_B9_B9_5,STAR_BROWN_DWARF_L,STAR_CV,STAR_F0,STAR_F2,STAR_F3,STAR_F5,STAR_F6,STAR_F8,STAR_F9,STAR_G0_G0_5,STAR_G1,STAR_G3,STAR_G4,STAR_G5,STAR_G8,STAR_G9,STAR_K0,STAR_K1,STAR_K2,STAR_K3,STAR_K4,STAR_K5,STAR_M0,STAR_M1,STAR_M2,STAR_M3,STAR_M4_M4_5,STAR_M5,STAR_M6,STAR_M8,STAR_O8,STAR_SUBDWARF_F,STAR_WHITE_DWARF
GALAXY_AGN,111,8,1,20,1,18,5,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALAXY_AGN_BROADLINE,6,57,3,1,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALAXY_BROADLINE,4,11,166,38,0,1,0,0,3,3,0,1,0,2,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,8,0,0,0,0,1,0,1,0,0,1,0,5,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,8,10,0,0
GALAXY_NORMAL,46,3,250,2528,65,215,6,0,20,130,2,6,0,6,2,3,8,0,0,1,6,8,4,7,1,2,1,3,2,7,63,8,15,1,2,5,5,2,11,1,7,4,60,7,6,8,3,0,7,72,19,0,13,9,1,3,3,8,22,40,2,11
GALAXY_STARBURST,1,0,0,12,413,58,1,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GALAXY_STARFORMING,28,1,1,91,54,462,5,1,2,8,5,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,2,0,0,1,0,0
QSO_AGN,1,0,0,0,2,1,75,1,0,9,10,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QSO_AGN_BROADLINE,0,1,0,0,0,0,3,133,5,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QSO_BROADLINE,1,1,1,6,0,2,0,6,1898,236,0,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
QSO_NORMAL,2,0,1,103,3,8,18,4,206,3311,18,26,4,0,0,0,1,0,0,0,1,0,0,0,4,1,0,0,0,0,1,1,2,1,0,1,1,0,3,0,0,0,0,2,1,0,1,0,1,0,4,0,1,0,0,0,0,0,0,6,1,12
QSO_STARBURST,0,0,0,2,10,1,6,0,0,15,49,33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QSO_STARBURST_BROADLINE,4,3,0,3,0,3,6,26,28,14,16,1241,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QSO_STARFORMING,0,0,0,1,2,9,0,0,0,1,5,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_A0,0,0,0,0,0,0,0,0,0,1,0,0,0,670,2,12,16,0,0,0,0,0,0,13,3,6,4,12,2,2,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0
STAR_A1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,229,4,23,5,2,5,0,0,1,0,0,0,6,2,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
STAR_A2,0,0,0,3,0,0,0,0,0,0,0,0,0,18,10,520,2,4,0,0,9,1,0,1,0,0,9,1,0,0,12,54,10,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,3,1
STAR_A4,0,0,2,4,0,0,0,0,1,1,0,0,0,62,79,28,2703,0,9,54,3,7,0,3,4,5,4,3,16,1,47,39,10,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,1,9,23,16
STAR_A5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,19,0,1,0,0,0,0,0,0,2,0,0,0,0,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,47,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
STAR_A8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,3,9,224,0,2,0,0,0,0,7,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
STAR_A9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,1,0,0,335,0,1,1,3,6,2,0,0,0,10,8,8,2,0,6,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,5
STAR_A_METALLIC,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,136,0,0,0,0,0,0,0,0,8,3,11,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4
STAR_B0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,33,0,2,1,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,15,0,0
STAR_B1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,7,0,0,0,0,2,0,0,171,4,2,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,1
STAR_B2_B2_5,0,0,0,8,0,0,0,0,1,4,0,0,0,7,0,3,4,0,1,0,1,0,2,7,72,5,6,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
STAR_B3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,5,0,0,0,7,0,1,6,8,75,5,2,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
STAR_B5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,14,15,5,1,0,2,1,0,0,3,5,0,84,9,2,0,0,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
STAR_B8,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,1,3,0,0,0,0,0,4,1,7,0,2,99,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
STAR_B9_B9_5,0,0,0,0,0,0,0,0,0,1,0,0,0,5,14,4,5,0,0,1,0,0,0,0,1,0,2,17,214,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
STAR_BROWN_DWARF_L,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,36,1,0,0
STAR_CV,0,0,28,12,2,0,0,0,0,3,0,0,0,43,0,13,30,0,0,0,6,13,4,19,5,10,0,2,1,0,3283,2,79,2,0,7,2,0,8,1,8,0,9,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,113,1,37
STAR_F0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,10,129,58,14,4,76,32,17,0,0,0,0,31,0,0,0,6,3109,156,49,3,14,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,27,2
STAR_F2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,9,2,0,0,1,18,54,0,4,1,2,4,0,0,1,105,156,3059,114,7,84,23,17,23,0,9,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,7,17,13
STAR_F3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,81,158,3233,1,161,49,33,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
STAR_F5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,7,0,36,7,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR_F6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,4,1,0,0,0,0,0,0,0,6,20,129,150,11,2994,224,115,40,13,4,1,1,0,0,1,1,0,0,5,2,0,0,0,0,0,0,0,1,0,8,3
STAR_F8,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,16,28,2,170,2915,78,255,136,47,42,19,2,0,4,0,0,0,5,0,0,1,0,0,0,0,0,0,1,1,2
STAR_F9,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,1,42,47,1062,43,23,1,24,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
STAR_G0_G0_5,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,1,5,0,33,4,3,48,216,82,2735,94,270,117,40,6,9,18,10,0,1,11,0,0,5,0,0,1,0,0,1,2,14,2
STAR_G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,45,12,36,1160,6,84,1,3,2,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
STAR_G3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,1,0,0,5,0,42,2,1702,1,148,0,3,11,18,0,1,24,0,0,0,0,0,0,0,0,1,4,0,0
STAR_G4,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,38,20,108,224,16,3164,11,78,32,14,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
STAR_G5,0,0,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,5,1,24,1,159,21,2687,5,38,35,23,11,5,111,0,0,0,0,0,0,0,0,1,5,0,1
STAR_G8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,7,0,61,10,2756,79,205,5,0,31,1,2,0,1,0,0,0,0,0,0,0,0,0
STAR_G9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,3,2,7,9,10,318,9,2,0,3,8,1,0,0,2,0,0,0,0,0,1,0,0
STAR_K0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,0,21,6,48,3,72,149,27,2997,286,17,77,27,0,1,1,0,0,1,0,0,1,1,0,0
STAR_K1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,29,1,14,0,7,46,976,38,13,34,7,0,0,0,0,0,0,0,0,2,0,2
STAR_K2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,20,309,4,10,0,1,0,0,0,0,0,0,0,0,0,0
