,GALAXY_AGN,GALAXY_STARBURST,GALAXY_STARFORMING,GALAXY_nan,QSO_BROADLINE,QSO_nan,STAR_A0,STAR_F5,STAR_F9,STAR_G2,STAR_K1,STAR_K3,STAR_K5
GALAXY_AGN,2759,20,179,41,0,1,0,0,0,0,0,0,0
GALAXY_STARBURST,7,2851,137,3,0,2,0,0,0,0,0,0,0
GALAXY_STARFORMING,86,173,2695,41,0,3,1,0,0,0,0,0,1
GALAXY_nan,95,33,180,2665,0,23,0,0,1,1,0,1,1
QSO_BROADLINE,8,0,0,2,2756,234,0,0,0,0,0,0,0
QSO_nan,19,0,0,63,154,2759,1,1,0,0,0,1,2
STAR_A0,0,0,0,0,0,1,2905,94,0,0,0,0,0
STAR_F5,0,0,0,0,0,1,167,2810,0,22,0,0,0
STAR_F9,0,0,0,0,0,0,1,0,2555,284,147,13,0
STAR_G2,0,0,0,0,0,0,2,27,45,2924,2,0,0
STAR_K1,0,0,0,1,0,0,1,0,64,3,2768,163,0
STAR_K3,0,0,0,2,0,0,0,0,4,0,143,2715,136
STAR_K5,0,0,0,1,0,0,0,1,0,0,0,81,2917
