sigma,Frozen_Quanv_mean,Frozen_Quanv_std,Frozen_CNN_mean,Frozen_CNN_std,Trainable_Quanv_mean,Trainable_Quanv_std,Trainable_CNN_mean,Trainable_CNN_std
0.00,0.8947,0.0329,0.8930,0.0357,0.8966,0.0343,0.9104,0.0184
0.10,0.8928,0.0311,0.8897,0.0344,0.8951,0.0348,0.9080,0.0180
0.20,0.8845,0.0278,0.8772,0.0407,0.8872,0.0378,0.9000,0.0182
0.30,0.8723,0.0294,0.8601,0.0570,0.8725,0.0428,0.8896,0.0192
0.40,0.8585,0.0349,0.8450,0.0692,0.8575,0.0526,0.8780,0.0207
0.50,0.8433,0.0419,0.8251,0.0787,0.8356,0.0619,0.8647,0.0211
0.60,0.8239,0.0539,0.8052,0.0850,0.8133,0.0708,0.8476,0.0258
0.70,0.8001,0.0568,0.7818,0.0908,0.7888,0.0786,0.8299,0.0315
0.80,0.7795,0.0637,0.7588,0.0901,0.7610,0.0797,0.8079,0.0336
0.90,0.7567,0.0704,0.7372,0.0909,0.7336,0.0827,0.7838,0.0370
1.00,0.7347,0.0721,0.7157,0.0882,0.7112,0.0849,0.7602,0.0460
1.10,0.7131,0.0729,0.6976,0.0868,0.6918,0.0868,0.7379,0.0504
1.20,0.6968,0.0707,0.6810,0.0831,0.6722,0.0796,0.7191,0.0498
1.30,0.6806,0.0690,0.6638,0.0795,0.6593,0.0798,0.6971,0.0478
1.40,0.6683,0.0662,0.6546,0.0785,0.6490,0.0782,0.6819,0.0475
1.50,0.6564,0.0665,0.6404,0.0713,0.6368,0.0717,0.6692,0.0490
1.60,0.6469,0.0638,0.6284,0.0703,0.6279,0.0709,0.6547,0.0464
1.70,0.6346,0.0577,0.6239,0.0673,0.6194,0.0685,0.6448,0.0434
1.80,0.6297,0.0603,0.6151,0.0638,0.6158,0.0685,0.6351,0.0434
1.90,0.6228,0.0584,0.6065,0.0620,0.6083,0.0638,0.6268,0.0424
2.00,0.6167,0.0579,0.6028,0.0579,0.6036,0.0647,0.6253,0.0433
2.10,0.6106,0.0528,0.5958,0.0541,0.6003,0.0618,0.6175,0.0420
2.20,0.6050,0.0531,0.5880,0.0506,0.5966,0.0600,0.6108,0.0388
2.30,0.6009,0.0529,0.5828,0.0495,0.5941,0.0592,0.6053,0.0381
2.40,0.5968,0.0471,0.5793,0.0484,0.5908,0.0566,0.6013,0.0395
2.50,0.5869,0.0456,0.5762,0.0447,0.5876,0.0549,0.5968,0.0399
2.60,0.5888,0.0459,0.5723,0.0423,0.5833,0.0528,0.5911,0.0356
2.70,0.5839,0.0457,0.5672,0.0409,0.5780,0.0510,0.5868,0.0353
2.80,0.5808,0.0421,0.5699,0.0430,0.5774,0.0485,0.5847,0.0333
2.90,0.5801,0.0426,0.5623,0.0412,0.5729,0.0448,0.5839,0.0385
3.00,0.5715,0.0381,0.5639,0.0380,0.5707,0.0451,0.5817,0.0352
3.10,0.5712,0.0403,0.5620,0.0355,0.5703,0.0442,0.5768,0.0341
3.20,0.5706,0.0367,0.5599,0.0340,0.5702,0.0437,0.5744,0.0359
3.30,0.5634,0.0354,0.5561,0.0341,0.5689,0.0433,0.5748,0.0353
3.40,0.5652,0.0349,0.5525,0.0327,0.5641,0.0396,0.5713,0.0335
3.50,0.5633,0.0324,0.5550,0.0354,0.5638,0.0414,0.5699,0.0300
3.60,0.5600,0.0331,0.5490,0.0320,0.5601,0.0388,0.5690,0.0317
3.70,0.5621,0.0331,0.5492,0.0301,0.5617,0.0386,0.5680,0.0323
3.80,0.5585,0.0313,0.5506,0.0332,0.5600,0.0373,0.5650,0.0331
3.90,0.5557,0.0294,0.5476,0.0304,0.5598,0.0379,0.5675,0.0300
4.00,0.5605,0.0338,0.5461,0.0304,0.5567,0.0369,0.5639,0.0317
