sigma,Frozen_Quanv_mean,Frozen_Quanv_std,Frozen_CNN_mean,Frozen_CNN_std,Trainable_Quanv_mean,Trainable_Quanv_std,Trainable_CNN_mean,Trainable_CNN_std
0.00,0.7309,0.1513,0.7549,0.1292,0.7231,0.1461,0.8110,0.0108
0.10,0.7258,0.1482,0.7142,0.1139,0.6978,0.1302,0.7476,0.0214
0.20,0.7201,0.1445,0.6969,0.1013,0.7023,0.1336,0.7465,0.0188
0.30,0.6911,0.1262,0.6659,0.0856,0.6959,0.1295,0.7432,0.0181
0.40,0.6323,0.0985,0.6387,0.0909,0.6817,0.1202,0.7359,0.0167
0.50,0.5814,0.0740,0.6269,0.0934,0.6615,0.1086,0.7299,0.0099
0.60,0.5486,0.0504,0.6151,0.0912,0.6376,0.0983,0.7200,0.0114
0.70,0.5292,0.0333,0.6089,0.0882,0.6145,0.0923,0.7121,0.0125
0.80,0.5183,0.0236,0.6004,0.0841,0.5956,0.0866,0.7046,0.0160
0.90,0.5111,0.0151,0.5889,0.0772,0.5811,0.0820,0.6965,0.0201
1.00,0.5066,0.0106,0.5771,0.0692,0.5681,0.0773,0.6888,0.0257
1.10,0.5039,0.0065,0.5623,0.0569,0.5562,0.0710,0.6772,0.0296
1.20,0.5025,0.0047,0.5447,0.0454,0.5478,0.0659,0.6656,0.0423
1.30,0.5016,0.0032,0.5294,0.0373,0.5396,0.0573,0.6504,0.0520
1.40,0.5015,0.0028,0.5197,0.0249,0.5325,0.0486,0.6343,0.0587
1.50,0.5009,0.0024,0.5143,0.0177,0.5255,0.0399,0.6164,0.0647
1.60,0.5006,0.0013,0.5071,0.0106,0.5213,0.0353,0.6000,0.0673
1.70,0.5003,0.0012,0.5070,0.0131,0.5148,0.0256,0.5867,0.0690
1.80,0.5004,0.0012,0.5049,0.0092,0.5109,0.0206,0.5718,0.0654
1.90,0.5004,0.0013,0.5035,0.0074,0.5077,0.0144,0.5554,0.0613
2.00,0.5005,0.0015,0.5052,0.0120,0.5047,0.0094,0.5451,0.0575
2.10,0.5003,0.0009,0.5041,0.0103,0.5023,0.0052,0.5358,0.0521
2.20,0.5002,0.0007,0.5032,0.0073,0.5018,0.0039,0.5321,0.0498
2.30,0.5002,0.0006,0.5023,0.0049,0.5008,0.0020,0.5247,0.0431
2.40,0.5003,0.0010,0.5026,0.0063,0.5003,0.0007,0.5191,0.0372
2.50,0.5002,0.0007,0.5027,0.0071,0.5003,0.0005,0.5172,0.0335
2.60,0.5002,0.0005,0.5019,0.0054,0.5001,0.0001,0.5138,0.0279
2.70,0.5001,0.0003,0.5022,0.0051,0.5000,0.0001,0.5118,0.0241
2.80,0.5002,0.0005,0.5006,0.0013,0.5000,0.0001,0.5099,0.0196
2.90,0.5003,0.0010,0.5020,0.0054,0.5000,0.0001,0.5077,0.0155
3.00,0.5004,0.0013,0.5017,0.0039,0.5000,0.0001,0.5069,0.0136
3.10,0.5005,0.0016,0.5020,0.0056,0.5000,0.0000,0.5057,0.0114
3.20,0.5004,0.0013,0.5008,0.0025,0.5000,0.0000,0.5043,0.0086
3.30,0.5004,0.0012,0.5005,0.0010,0.5000,0.0000,0.5051,0.0110
3.40,0.5003,0.0009,0.5033,0.0097,0.5000,0.0000,0.5037,0.0089
3.50,0.5003,0.0010,0.5016,0.0042,0.5000,0.0000,0.5025,0.0062
3.60,0.5005,0.0015,0.5005,0.0015,0.5000,0.0000,0.5045,0.0115
3.70,0.5003,0.0009,0.5019,0.0055,0.5000,0.0000,0.5015,0.0037
3.80,0.5003,0.0009,0.5016,0.0047,0.5000,0.0000,0.5021,0.0055
3.90,0.5005,0.0015,0.5022,0.0063,0.5000,0.0000,0.5030,0.0082
4.00,0.5004,0.0012,0.5009,0.0025,0.5000,0.0000,0.5020,0.0058
