sigma,Frozen_Quanv_mean,Frozen_Quanv_std,Frozen_CNN_mean,Frozen_CNN_std,Trainable_Quanv_mean,Trainable_Quanv_std,Trainable_CNN_mean,Trainable_CNN_std
0.00,0.9089,0.0240,0.9145,0.0236,0.9262,0.0091,0.9144,0.0258
0.10,0.9008,0.0207,0.9032,0.0197,0.9129,0.0069,0.9023,0.0201
0.20,0.8804,0.0149,0.8718,0.0219,0.8743,0.0138,0.8646,0.0150
0.30,0.8502,0.0116,0.8313,0.0427,0.8198,0.0273,0.8074,0.0330
0.40,0.8101,0.0195,0.7836,0.0658,0.7522,0.0388,0.7499,0.0502
0.50,0.7617,0.0338,0.7366,0.0773,0.6914,0.0425,0.6965,0.0612
0.60,0.7136,0.0464,0.6927,0.0887,0.6407,0.0391,0.6462,0.0671
0.70,0.6789,0.0531,0.6574,0.0861,0.6015,0.0349,0.6126,0.0662
0.80,0.6436,0.0621,0.6308,0.0829,0.5709,0.0295,0.5855,0.0659
0.90,0.6244,0.0616,0.6082,0.0811,0.5545,0.0283,0.5643,0.0622
1.00,0.6050,0.0651,0.5930,0.0738,0.5437,0.0255,0.5506,0.0605
1.10,0.5932,0.0643,0.5751,0.0686,0.5324,0.0235,0.5404,0.0563
1.20,0.5812,0.0617,0.5660,0.0669,0.5320,0.0232,0.5323,0.0503
1.30,0.5729,0.0597,0.5563,0.0600,0.5252,0.0228,0.5280,0.0507
1.40,0.5675,0.0555,0.5515,0.0583,0.5201,0.0187,0.5226,0.0430
1.50,0.5648,0.0528,0.5457,0.0535,0.5155,0.0145,0.5200,0.0409
1.60,0.5605,0.0495,0.5411,0.0495,0.5136,0.0143,0.5171,0.0370
1.70,0.5547,0.0467,0.5394,0.0472,0.5140,0.0163,0.5169,0.0341
1.80,0.5505,0.0460,0.5331,0.0433,0.5134,0.0140,0.5134,0.0294
1.90,0.5455,0.0398,0.5317,0.0406,0.5093,0.0117,0.5134,0.0287
2.00,0.5447,0.0377,0.5289,0.0398,0.5074,0.0131,0.5122,0.0285
2.10,0.5419,0.0353,0.5272,0.0382,0.5089,0.0120,0.5096,0.0244
2.20,0.5411,0.0358,0.5239,0.0306,0.5097,0.0084,0.5087,0.0197
2.30,0.5397,0.0339,0.5238,0.0303,0.5087,0.0105,0.5089,0.0226
2.40,0.5362,0.0295,0.5232,0.0308,0.5072,0.0124,0.5070,0.0200
2.50,0.5320,0.0270,0.5209,0.0262,0.5084,0.0080,0.5078,0.0186
2.60,0.5321,0.0280,0.5204,0.0260,0.5067,0.0097,0.5067,0.0175
2.70,0.5320,0.0283,0.5200,0.0238,0.5083,0.0094,0.5069,0.0145
2.80,0.5300,0.0257,0.5183,0.0225,0.5070,0.0099,0.5059,0.0145
2.90,0.5317,0.0224,0.5201,0.0188,0.5080,0.0113,0.5056,0.0153
3.00,0.5305,0.0237,0.5185,0.0219,0.5093,0.0079,0.5054,0.0130
3.10,0.5268,0.0202,0.5162,0.0184,0.5075,0.0106,0.5047,0.0131
3.20,0.5282,0.0241,0.5192,0.0220,0.5085,0.0078,0.5041,0.0109
3.30,0.5279,0.0207,0.5155,0.0190,0.5063,0.0077,0.5051,0.0121
3.40,0.5271,0.0191,0.5157,0.0197,0.5095,0.0092,0.5046,0.0096
3.50,0.5267,0.0190,0.5168,0.0154,0.5082,0.0079,0.5049,0.0101
3.60,0.5208,0.0164,0.5149,0.0144,0.5082,0.0071,0.5044,0.0103
3.70,0.5252,0.0169,0.5142,0.0160,0.5115,0.0124,0.5027,0.0095
3.80,0.5260,0.0162,0.5131,0.0160,0.5058,0.0110,0.5052,0.0102
3.90,0.5239,0.0170,0.5147,0.0164,0.5117,0.0085,0.5032,0.0104
4.00,0.5245,0.0173,0.5129,0.0160,0.5087,0.0067,0.5031,0.0079
