sigma,Frozen_Quanv_mean,Frozen_Quanv_std,Frozen_CNN_mean,Frozen_CNN_std,Trainable_Quanv_mean,Trainable_Quanv_std,Trainable_CNN_mean,Trainable_CNN_std
0.00,0.6975,0.1615,0.6835,0.1503,0.7601,0.1306,0.7862,0.0973
0.10,0.6883,0.1540,0.6455,0.1210,0.7420,0.1235,0.7340,0.0861
0.20,0.6655,0.1419,0.6393,0.1164,0.7259,0.1159,0.7218,0.0767
0.30,0.6293,0.1261,0.6327,0.1127,0.6834,0.1173,0.7041,0.0696
0.40,0.5875,0.0972,0.6247,0.1069,0.6395,0.1093,0.6889,0.0687
0.50,0.5551,0.0750,0.6161,0.1014,0.6086,0.1060,0.6759,0.0719
0.60,0.5354,0.0540,0.6049,0.0975,0.5873,0.0984,0.6650,0.0717
0.70,0.5222,0.0354,0.5933,0.0935,0.5743,0.0931,0.6544,0.0728
0.80,0.5135,0.0217,0.5811,0.0874,0.5647,0.0884,0.6471,0.0750
0.90,0.5079,0.0125,0.5706,0.0801,0.5564,0.0837,0.6383,0.0709
1.00,0.5047,0.0073,0.5607,0.0729,0.5513,0.0831,0.6274,0.0715
1.10,0.5022,0.0034,0.5492,0.0639,0.5475,0.0810,0.6164,0.0717
1.20,0.5013,0.0020,0.5379,0.0552,0.5434,0.0790,0.6007,0.0729
1.30,0.5007,0.0012,0.5321,0.0523,0.5416,0.0797,0.5867,0.0746
1.40,0.5003,0.0008,0.5241,0.0423,0.5391,0.0774,0.5713,0.0713
1.50,0.5003,0.0009,0.5212,0.0405,0.5364,0.0743,0.5583,0.0675
1.60,0.5002,0.0006,0.5180,0.0359,0.5355,0.0744,0.5471,0.0636
1.70,0.5001,0.0003,0.5155,0.0308,0.5334,0.0720,0.5373,0.0553
1.80,0.5002,0.0007,0.5142,0.0289,0.5313,0.0697,0.5304,0.0499
1.90,0.5002,0.0006,0.5137,0.0287,0.5295,0.0661,0.5238,0.0436
2.00,0.5001,0.0002,0.5114,0.0236,0.5281,0.0637,0.5170,0.0339
2.10,0.5001,0.0003,0.5094,0.0193,0.5264,0.0620,0.5121,0.0244
2.20,0.5001,0.0003,0.5102,0.0218,0.5249,0.0598,0.5105,0.0206
2.30,0.5000,0.0001,0.5081,0.0171,0.5228,0.0546,0.5065,0.0133
2.40,0.5001,0.0002,0.5068,0.0150,0.5215,0.0541,0.5057,0.0104
2.50,0.5001,0.0003,0.5072,0.0159,0.5184,0.0456,0.5044,0.0068
2.60,0.5000,0.0001,0.5055,0.0119,0.5163,0.0425,0.5038,0.0059
2.70,0.5002,0.0006,0.5055,0.0130,0.5145,0.0391,0.5021,0.0035
2.80,0.5001,0.0003,0.5055,0.0122,0.5139,0.0370,0.5022,0.0043
2.90,0.5001,0.0004,0.5049,0.0112,0.5112,0.0303,0.5024,0.0038
3.00,0.5001,0.0004,0.5053,0.0128,0.5104,0.0288,0.5009,0.0015
3.10,0.5001,0.0004,0.5041,0.0098,0.5091,0.0253,0.5009,0.0015
3.20,0.5001,0.0003,0.5035,0.0079,0.5083,0.0239,0.5003,0.0008
3.30,0.5000,0.0000,0.5034,0.0085,0.5072,0.0206,0.5025,0.0052
3.40,0.5001,0.0003,0.5041,0.0103,0.5055,0.0160,0.5018,0.0040
3.50,0.5001,0.0004,0.5027,0.0066,0.5050,0.0139,0.5017,0.0037
3.60,0.5002,0.0005,0.5031,0.0079,0.5054,0.0156,0.5004,0.0013
3.70,0.5002,0.0005,0.5019,0.0049,0.5043,0.0128,0.5011,0.0023
3.80,0.5001,0.0003,0.5023,0.0061,0.5039,0.0115,0.5019,0.0038
3.90,0.5002,0.0005,0.5015,0.0035,0.5029,0.0078,0.4993,0.0014
4.00,0.5002,0.0005,0.5029,0.0074,0.5035,0.0097,0.5006,0.0013
