quadrant,model,n_seeds,auc_mean,auc_std
1_HighData_Clean,CNN_Huge,10,0.3461185185185185,0.018960755079799916
1_HighData_Clean,CNN_Tiny,10,0.46189629629629625,0.05929022061546913
1_HighData_Clean,QCNN,10,0.4084185185185185,0.039031864335059736
1_HighData_Clean,QCNN_Hyb,10,0.44827037037037043,0.05836950095705213
2_HighData_Adv,CNN_Huge,10,0.6726407407407408,0.025772599788589923
2_HighData_Adv,CNN_Tiny,10,0.5436851851851852,0.03993512657680048
2_HighData_Adv,QCNN,10,0.5762444444444444,0.02158512798995955
2_HighData_Adv,QCNN_Hyb,10,0.6318851851851852,0.037228595179509286
3_FewShot_Clean,CNN_Huge,10,0.30517037037037037,0.025482919856044256
3_FewShot_Clean,CNN_Tiny,10,0.28343333333333326,0.06423558332115506
3_FewShot_Clean,QCNN,10,0.3122592592592592,0.028810115774135083
3_FewShot_Clean,QCNN_Hyb,10,0.3622962962962963,0.05613743667983217
4_FewShot_Adv,CNN_Huge,10,0.4788074074074074,0.06322960923669359
4_FewShot_Adv,CNN_Tiny,10,0.2857111111111111,0.07236954357160677
4_FewShot_Adv,QCNN,10,0.3636111111111111,0.08531041881446276
4_FewShot_Adv,QCNN_Hyb,10,0.4433592592592593,0.08107452760308319
