quadrant,model,n_seeds,clean_mean,clean_std
1_HighData_Clean,CNN_Huge,10,0.8366666666666667,0.013948759845755745
1_HighData_Clean,CNN_Tiny,10,0.7345555555555556,0.0246027700939609
1_HighData_Clean,QCNN,10,0.7792222222222221,0.026657637360231867
1_HighData_Clean,QCNN_Hyb,10,0.7612222222222222,0.033769187504163585
2_HighData_Adv,CNN_Huge,10,0.8353333333333334,0.010781786196185058
2_HighData_Adv,CNN_Tiny,10,0.7043333333333333,0.02544153306973209
2_HighData_Adv,QCNN,10,0.7543333333333333,0.028146223131056313
2_HighData_Adv,QCNN_Hyb,10,0.7858888888888889,0.012785504909954434
3_FewShot_Clean,CNN_Huge,10,0.5954444444444444,0.16193387615602112
3_FewShot_Clean,CNN_Tiny,10,0.3048888888888889,0.12130789314084887
3_FewShot_Clean,QCNN,10,0.5232222222222223,0.1273252372838265
3_FewShot_Clean,QCNN_Hyb,10,0.5242222222222221,0.0638628932620694
4_FewShot_Adv,CNN_Huge,10,0.6652222222222222,0.12007410263440155
4_FewShot_Adv,CNN_Tiny,10,0.292,0.10874571085624313
4_FewShot_Adv,QCNN,10,0.4779999999999999,0.11847362575695908
4_FewShot_Adv,QCNN_Hyb,10,0.5574444444444444,0.08053225716720255
