quadrant,comparison,n_pairs,QCNN_clean,CNN_Tiny_clean,delta,W,p_value,CNN_Huge_clean,QCNN_Hyb_clean
1_HighData_Clean,QCNN vs CNN_Tiny,10,0.7792222222222221,0.7345555555555555,0.04466666666666663,3.0,0.009765625,,
1_HighData_Clean,QCNN vs CNN_Huge,10,0.7792222222222221,,-0.05744444444444452,0.0,0.001953125,0.8366666666666667,
1_HighData_Clean,QCNN_Hyb vs CNN_Tiny,10,,0.7345555555555555,0.026666666666666727,3.0,0.009765625,,0.7612222222222222
1_HighData_Clean,QCNN_Hyb vs CNN_Huge,10,,,-0.07544444444444443,0.0,0.001953125,0.8366666666666667,0.7612222222222222
2_HighData_Adv,QCNN vs CNN_Tiny,10,0.7543333333333333,0.7043333333333333,0.050000000000000044,4.0,0.013671875,,
2_HighData_Adv,QCNN vs CNN_Huge,10,0.7543333333333333,,-0.08100000000000007,0.0,0.001953125,0.8353333333333334,
2_HighData_Adv,QCNN_Hyb vs CNN_Tiny,10,,0.7043333333333333,0.08155555555555571,0.0,0.001953125,,0.785888888888889
2_HighData_Adv,QCNN_Hyb vs CNN_Huge,10,,,-0.0494444444444444,0.0,0.001953125,0.8353333333333334,0.785888888888889
3_FewShot_Clean,QCNN vs CNN_Tiny,10,0.5232222222222223,0.3048888888888889,0.21833333333333338,0.0,0.001953125,,
3_FewShot_Clean,QCNN vs CNN_Huge,10,0.5232222222222223,,-0.07222222222222208,17.0,0.322265625,0.5954444444444443,
3_FewShot_Clean,QCNN_Hyb vs CNN_Tiny,10,,0.3048888888888889,0.21933333333333327,1.0,0.00390625,,0.5242222222222221
3_FewShot_Clean,QCNN_Hyb vs CNN_Huge,10,,,-0.07122222222222219,17.0,0.322265625,0.5954444444444443,0.5242222222222221
4_FewShot_Adv,QCNN vs CNN_Tiny,10,0.4779999999999999,0.292,0.18599999999999994,0.0,0.001953125,,
4_FewShot_Adv,QCNN vs CNN_Huge,10,0.4779999999999999,,-0.18722222222222223,8.0,0.048828125,0.6652222222222222,
4_FewShot_Adv,QCNN_Hyb vs CNN_Tiny,10,,0.292,0.2654444444444444,0.0,0.001953125,,0.5574444444444444
4_FewShot_Adv,QCNN_Hyb vs CNN_Huge,10,,,-0.10777777777777775,9.0,0.064453125,0.6652222222222222,0.5574444444444444
