quadrant,comparison,n_pairs,QCNN_auc,CNN_Tiny_auc,delta,W,p_value,CNN_Huge_auc,QCNN_Hyb_auc
1_HighData_Clean,QCNN vs CNN_Tiny,10,0.4084185185185185,0.46189629629629625,-0.053477777777777735,9.0,0.064453125,,
1_HighData_Clean,QCNN vs CNN_Huge,10,0.4084185185185185,,0.06230000000000002,3.0,0.009765625,0.3461185185185185,
1_HighData_Clean,QCNN_Hyb vs CNN_Tiny,10,,0.46189629629629625,-0.01362592592592593,25.0,0.845703125,,0.4482703703703703
1_HighData_Clean,QCNN_Hyb vs CNN_Huge,10,,,0.10215185185185183,1.0,0.00390625,0.3461185185185185,0.4482703703703703
2_HighData_Adv,QCNN vs CNN_Tiny,10,0.5762444444444444,0.5436851851851852,0.03255925925925929,16.0,0.275390625,,
2_HighData_Adv,QCNN vs CNN_Huge,10,0.5762444444444444,,-0.09639629629629631,0.0,0.001953125,0.6726407407407408,
2_HighData_Adv,QCNN_Hyb vs CNN_Tiny,10,,0.5436851851851852,0.08820000000000006,0.0,0.001953125,,0.6318851851851852
2_HighData_Adv,QCNN_Hyb vs CNN_Huge,10,,,-0.040755555555555545,5.0,0.01953125,0.6726407407407408,0.6318851851851852
3_FewShot_Clean,QCNN vs CNN_Tiny,10,0.31225925925925924,0.2834333333333333,0.02882592592592592,13.0,0.16015625,,
3_FewShot_Clean,QCNN vs CNN_Huge,10,0.31225925925925924,,0.007088888888888922,22.0,0.625,0.3051703703703703,
3_FewShot_Clean,QCNN_Hyb vs CNN_Tiny,10,,0.2834333333333333,0.07886296296296297,5.0,0.01953125,,0.3622962962962963
3_FewShot_Clean,QCNN_Hyb vs CNN_Huge,10,,,0.05712592592592597,9.0,0.064453125,0.3051703703703703,0.3622962962962963
4_FewShot_Adv,QCNN vs CNN_Tiny,10,0.3636111111111111,0.28571111111111114,0.07789999999999997,6.0,0.02734375,,
4_FewShot_Adv,QCNN vs CNN_Huge,10,0.3636111111111111,,-0.11519629629629635,8.0,0.048828125,0.47880740740740746,
4_FewShot_Adv,QCNN_Hyb vs CNN_Tiny,10,,0.28571111111111114,0.15764814814814815,2.0,0.005859375,,0.4433592592592593
4_FewShot_Adv,QCNN_Hyb vs CNN_Huge,10,,,-0.03544814814814817,17.0,0.322265625,0.47880740740740746,0.4433592592592593
